Name	Description	Photos
Converse Chuck Taylor All Star High	Canvas high-top with rubber toe cap; all-time casual essential.	https://www.google.com/search?tbm=isch&q=Converse+Chuck+Taylor+All+Star+High+sneaker
Converse Chuck Taylor All Star Low	Low-top canvas classic; versatile, simple, and affordable.	https://www.google.com/search?tbm=isch&q=Converse+Chuck+Taylor+All+Star+Low+sneaker
Converse Chuck 70 High	Upgraded materials; vintage specs; thicker canvas and midsole.	https://www.google.com/search?tbm=isch&q=Converse+Chuck+70+High+sneaker
Vans Old Skool	Skate classic with sidestripe; suede/canvas build; waffle outsole.	https://www.google.com/search?tbm=isch&q=Vans+Old+Skool+sneaker
Vans Authentic	Low-profile canvas skate original; vulcanized sole; minimalist.	https://www.google.com/search?tbm=isch&q=Vans+Authentic+sneaker
Vans Sk8-Hi	High-top skate silhouette; padded collar; durable suede panels.	https://www.google.com/search?tbm=isch&q=Vans+Sk8-Hi+sneaker
Vans Slip-On	Laceless skate staple; checkerboard famous; easy on/off.	https://www.google.com/search?tbm=isch&q=Vans+Slip-On+sneaker
adidas Stan Smith	Clean leather tennis shoe; perforated Three Stripes; minimal.	https://www.google.com/search?tbm=isch&q=adidas+Stan+Smith+sneaker
adidas Superstar	Shell toe basketball classic; leather upper; bold stripes.	https://www.google.com/search?tbm=isch&q=adidas+Superstar+sneaker
adidas Samba OG	Indoor soccer classic turned lifestyle; gum sole; t-toe overlay.	https://www.google.com/search?tbm=isch&q=adidas+Samba+OG+sneaker
adidas Gazelle	60s training shoe; suede upper; slim profile; retro feel.	https://www.google.com/search?tbm=isch&q=adidas+Gazelle+sneaker
adidas Campus 00s	Chunkier take on Campus; skate-influenced proportions.	https://www.google.com/search?tbm=isch&q=adidas+Campus+00s+sneaker
adidas Forum Low	80s basketball strap; layered panels; retro court vibe.	https://www.google.com/search?tbm=isch&q=adidas+Forum+Low+sneaker
adidas Forum High	High-cut Forum with ankle strap; classic hardwood style.	https://www.google.com/search?tbm=isch&q=adidas+Forum+High+sneaker
adidas NMD_R1	Boost midsole lifestyle runner; sock-like knit upper.	https://www.google.com/search?tbm=isch&q=adidas+NMD_R1+sneaker
adidas Ultraboost 1.0	High-energy Boost cushioning; Primeknit upper; everyday comfort.	https://www.google.com/search?tbm=isch&q=adidas+Ultraboost+1.0+sneaker
adidas Ultraboost 21	Modern, high-stack Boost; torsion system; plush ride.	https://www.google.com/search?tbm=isch&q=adidas+Ultraboost+21+sneaker
adidas ZX 8000	Torsion-era runner; bright palettes; technical retro look.	https://www.google.com/search?tbm=isch&q=adidas+ZX+8000+sneaker
adidas Yeezy Boost 350 V2	Knit upper and Boost midsole; sleek, minimal silhouette.	https://www.google.com/search?tbm=isch&q=adidas+Yeezy+Boost+350+V2+sneaker
adidas Yeezy 700 V1	Chunky dad-shoe wave runner; layered suede and mesh.	https://www.google.com/search?tbm=isch&q=adidas+Yeezy+700+V1+sneaker
New Balance 990v5	Made in USA dad-shoe icon; ENCAP support; premium suede.	https://www.google.com/search?tbm=isch&q=New+Balance+990v5+sneaker
New Balance 990v6	Modernized 990 with FuelCell elements; supportive daily wear.	https://www.google.com/search?tbm=isch&q=New+Balance+990v6+sneaker
New Balance 993	Cushioned ride; ABZORB midsole; Boston-made classic.	https://www.google.com/search?tbm=isch&q=New+Balance+993+sneaker
New Balance 992	Chunky retro runner; ABZORB SBS; famously worn by Jobs.	https://www.google.com/search?tbm=isch&q=New+Balance+992+sneaker
New Balance 2002R	Revived 2010s runner; N-ergy cushioning; great for lifestyle.	https://www.google.com/search?tbm=isch&q=New+Balance+2002R+sneaker
New Balance 1906R	2000s tech-runner aesthetic; Stability web; breathable mesh.	https://www.google.com/search?tbm=isch&q=New+Balance+1906R+sneaker
New Balance 530	90s-inspired runner with ABZORB cushioning; versatile retro.	https://www.google.com/search?tbm=isch&q=New+Balance+530+sneaker
New Balance 550	80s hoops low-top; leather build; revived lifestyle hit.	https://www.google.com/search?tbm=isch&q=New+Balance+550+sneaker
New Balance 574	Brand staple; ENCAP midsole; rugged yet casual.	https://www.google.com/search?tbm=isch&q=New+Balance+574+sneaker
New Balance Fresh Foam 1080v13	Max-cushion daily trainer; smooth rocker; knit upper.	https://www.google.com/search?tbm=isch&q=New+Balance+Fresh+Foam+1080v13+sneaker
ASICS GEL-Kayano 30	Stability flagship; 4D Guidance; plush long-run comfort.	https://www.google.com/search?tbm=isch&q=ASICS+GEL-Kayano+30+sneaker
ASICS GEL-Nimbus 26	Max-cushion neutral trainer; FF BLAST PLUS ECO foam.	https://www.google.com/search?tbm=isch&q=ASICS+GEL-Nimbus+26+sneaker
ASICS GEL-Cumulus 26	Reliable daily neutral trainer; smooth, moderate cushioning.	https://www.google.com/search?tbm=isch&q=ASICS+GEL-Cumulus+26+sneaker
ASICS GEL-1130	Retro running silhouette; layered overlays; budget-friendly.	https://www.google.com/search?tbm=isch&q=ASICS+GEL-1130+sneaker
ASICS GT-2000 12	Light-stability daily trainer; energetic foam; reliable fit.	https://www.google.com/search?tbm=isch&q=ASICS+GT-2000+12+sneaker
ASICS GEL-Lyte III	Split tongue design; suede/mesh panels; retro comfort.	https://www.google.com/search?tbm=isch&q=ASICS+GEL-Lyte+III+sneaker
ASICS Novablast 4	Bouncy FF BLAST PLUS ECO foam; lively daily miles.	https://www.google.com/search?tbm=isch&q=ASICS+Novablast+4+sneaker
Puma Suede Classic	Hip-hop era staple; soft suede upper; clean profile.	https://www.google.com/search?tbm=isch&q=Puma+Suede+Classic+sneaker
Puma Clyde	Basketball heritage low-top; sleek suede leather build.	https://www.google.com/search?tbm=isch&q=Puma+Clyde+sneaker
Puma RS-X	Bulky retro-futurist runner; layered panels; cushioned ride.	https://www.google.com/search?tbm=isch&q=Puma+RS-X+sneaker
Puma Future Rider	80s-inspired runner; lightweight foam; colorful blocks.	https://www.google.com/search?tbm=isch&q=Puma+Future+Rider+sneaker
Puma Palermo	Terrace sneaker revival; gum sole; T-toe suede upper.	https://www.google.com/search?tbm=isch&q=Puma+Palermo+sneaker
Puma Speedcat	Motorsport-inspired low-profile; narrow fit; sleek look.	https://www.google.com/search?tbm=isch&q=Puma+Speedcat+sneaker
Reebok Club C 85	Tennis-inspired leather low-top; minimal branding; versatile.	https://www.google.com/search?tbm=isch&q=Reebok+Club+C+85+sneaker
Reebok Classic Leather	Retro runner with leather upper; EVA cushioning; casual staple.	https://www.google.com/search?tbm=isch&q=Reebok+Classic+Leather+sneaker
Reebok Workout Plus	H-Strap midfoot overlay; durable leather; gym classic.	https://www.google.com/search?tbm=isch&q=Reebok+Workout+Plus+sneaker
Reebok Nano X4	Cross-training shoe; stable base; breathable support.	https://www.google.com/search?tbm=isch&q=Reebok+Nano+X4+sneaker
Reebok Question Mid	Allen Iverson signature; pearlized toe; Hexalite cushioning.	https://www.google.com/search?tbm=isch&q=Reebok+Question+Mid+sneaker
Reebok Pump Omni Zone II	High-top with Pump bladder; 90s hoops nostalgia.	https://www.google.com/search?tbm=isch&q=Reebok+Pump+Omni+Zone+II+sneaker
Saucony Jazz Original	Retro runner; nylon/suede; comfy EVA midsole; casual fave.	https://www.google.com/search?tbm=isch&q=Saucony+Jazz+Original+sneaker
Saucony Shadow 6000	90s runner with ionic cushioning; suede overlays; lifestyle.	https://www.google.com/search?tbm=isch&q=Saucony+Shadow+6000+sneaker
Saucony Endorphin Speed 4	Nylon plate speed trainer; PWRRUN PB foam; uptempo.	https://www.google.com/search?tbm=isch&q=Saucony+Endorphin+Speed+4+sneaker
Hoka Clifton 9	Lightweight max-cushion; smooth rocker; daily trainer.	https://www.google.com/search?tbm=isch&q=Hoka+Clifton+9+sneaker
Hoka Bondi 8	Ultra-cushioned maximalist; wide platform; recovery days.	https://www.google.com/search?tbm=isch&q=Hoka+Bondi+8+sneaker
Hoka Arahi 7	Stability model with J-Frame; cushioned yet supportive ride.	https://www.google.com/search?tbm=isch&q=Hoka+Arahi+7+sneaker
On Cloud 5	Light everyday shoe; CloudTec pods; speed-lacing option.	https://www.google.com/search?tbm=isch&q=On+Cloud+5+sneaker
On Cloudmonster	Large CloudTec pods; energetic rocker; soft yet springy.	https://www.google.com/search?tbm=isch&q=On+Cloudmonster+sneaker
On Cloudswift 3	City runner with Helion foam; grippy outsole; sleek knit.	https://www.google.com/search?tbm=isch&q=On+Cloudswift+3+sneaker
Salomon XT-6	Trail runner turned street icon; Agile Chassis; quicklace.	https://www.google.com/search?tbm=isch&q=Salomon+XT-6+sneaker
Salomon ACS Pro	Tech trail aesthetic; cage support; breathable mesh.	https://www.google.com/search?tbm=isch&q=Salomon+ACS+Pro+sneaker
Salomon Speedcross 6	Aggressive lugs; mud-ready traction; snug trail fit.	https://www.google.com/search?tbm=isch&q=Salomon+Speedcross+6+sneaker
Brooks Ghost 16	Neutral daily trainer; balanced cushioning; dependable fit.	https://www.google.com/search?tbm=isch&q=Brooks+Ghost+16+sneaker
Brooks Adrenaline GTS 23	Stability with GuideRails; smooth ride; everyday mileage.	https://www.google.com/search?tbm=isch&q=Brooks+Adrenaline+GTS+23+sneaker
Brooks Glycerin 21	Plush cushioning; premium upper; relaxed long runs.	https://www.google.com/search?tbm=isch&q=Brooks+Glycerin+21+sneaker
Mizuno Wave Rider 28	Responsive wave plate; balanced cushioning; durable ride.	https://www.google.com/search?tbm=isch&q=Mizuno+Wave+Rider+28+sneaker
Mizuno Wave Inspire 20	Stability runner; wave support; reliable daily miles.	https://www.google.com/search?tbm=isch&q=Mizuno+Wave+Inspire+20+sneaker
Karhu Fusion 2.0	Finnish heritage runner; suede overlays; air-cushioned feel.	https://www.google.com/search?tbm=isch&q=Karhu+Fusion+2.0+sneaker
Diadora N9000	Italian-made retro runner; plush materials; bold colorblocking.	https://www.google.com/search?tbm=isch&q=Diadora+N9000+sneaker
Veja V-10	Sustainable leather/suede; V logo; fair-trade materials.	https://www.google.com/search?tbm=isch&q=Veja+V-10+sneaker
Veja Campo	Minimal court silhouette; chrome-free leather; eco-focused.	https://www.google.com/search?tbm=isch&q=Veja+Campo+sneaker
Common Projects Achilles Low	Luxury minimalist leather sneaker; gold-stamped heel code.	https://www.google.com/search?tbm=isch&q=Common+Projects+Achilles+Low+sneaker
Autry Medalist Low	80s tennis aesthetic; vintage midsole; leather build.	https://www.google.com/search?tbm=isch&q=Autry+Medalist+Low+sneaker
